case,step,bank,stage,rms,sample_diversity_rms,batch_mean_rms,diversity_to_rms
cifar,8,evolving_prior,stage8_block0_attention,0.057263150811195374,0.04340030997991562,0.037356144534372686,0.7579099187715416
cifar,8,evolving_prior,stage8_block0_attention_residual,0.5845044255256653,0.5740146636962891,0.11023878319685936,0.9820535801419427
cifar,8,evolving_prior,stage8_block0_ffn,0.21429167687892914,0.18499083817005157,0.10816336058354124,0.8632665573594256
cifar,8,evolving_prior,stage8_block0,0.6206284165382385,0.6013579964637756,0.1534542000201849,0.9689501486542462
cifar,8,evolving_prior,stage8_block1_attention,0.10790551453828812,0.04968227446079254,0.09578763841005367,0.4604238687278932
cifar,8,evolving_prior,stage8_block1_attention_residual,0.6335192322731018,0.6034462451934814,0.1928710626864201,0.9525302697256454
cifar,8,evolving_prior,stage8_block1_ffn,0.23377665877342224,0.18413439393043518,0.1440348956299702,0.787650892508047
cifar,8,evolving_prior,stage8_block1,0.6911988258361816,0.6305496096611023,0.28313072350691243,0.9122550358766761
cifar,8,evolving_prior,stage16_upsample,0.6911988258361816,0.6305496096611023,0.28313072350691243,0.9122550358766761
cifar,8,evolving_prior,stage16_position,0.6915813684463501,0.6305496096611023,0.2840633361388931,0.9117504294218384
cifar,8,evolving_prior,stage16_block0_attention,0.11192335188388824,0.029413431882858276,0.1079892898476378,0.2627997767022955
cifar,8,evolving_prior,stage16_block0_attention_residual,0.7087675929069519,0.6310773491859436,0.3226342822757019,0.8903868567094495
cifar,8,evolving_prior,stage16_block0_ffn,0.2011052966117859,0.16728784143924713,0.11161594165669925,0.831842046220095
cifar,8,evolving_prior,stage16_block0,0.7484260201454163,0.6530444025993347,0.36561525660779676,0.8725570530971795
cifar,8,evolving_prior,stage16_block1_attention,0.17717108130455017,0.03355882689356804,0.17396378125388934,0.1894148110767678
cifar,8,evolving_prior,stage16_block1_attention_residual,0.7814272046089172,0.6538906097412109,0.42784991129504046,0.8367901781311352
cifar,8,evolving_prior,stage16_block1_ffn,0.2128068208694458,0.16192591190338135,0.13808237419315608,0.7609056478632363
cifar,8,evolving_prior,stage16_block1,0.8394269347190857,0.6778982281684875,0.49506723884529596,0.8075726428713492
cifar,8,evolving_prior,stage32_upsample,0.8394269347190857,0.6778982877731323,0.49506715722832556,0.8075727138777017
cifar,8,evolving_prior,stage32_position,0.8399021029472351,0.6778982877731323,0.49587241702825474,0.8071158357555865
cifar,8,evolving_prior,stage32_block0_attention,0.15634797513484955,0.029848778620362282,0.15347227679173897,0.1909124732483284
cifar,8,evolving_prior,stage32_block0_attention_residual,0.8646907210350037,0.6771193146705627,0.5377726998873241,0.7830768830965079
cifar,8,evolving_prior,stage32_block0_ffn,0.22463670372962952,0.14674505591392517,0.17008097256110785,0.6532550267944905
cifar,8,evolving_prior,stage32_block0,0.9021525382995605,0.6898266077041626,0.5813935445665934,0.7646451995849787
cifar,8,evolving_prior,stage32_block1_attention,0.18963710963726044,0.0222959965467453,0.18832185717425862,0.117571906624148
